Symbol,% Chg(Open),Last Trade,Volume    ,DM Average (ADX) 14 Day,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,Bollinger Band®(Middle),Industry                            ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
BRO   ,+0.85      ,41.64     ,270748    ,24.86                  ,22.74    ,5.80B     ,1              ,-1.07                     ,31.17     ,42.35     ,-0.40,-80.51      ,84.38                  ,-19.75            ,42.70                  ,Insurance                           ,NYSE    ,BROWN & BROWN INC        ,Insurance Brokers                    ,0.54    ,41.38         ,41.64 ,400     ,635284       ,704400      ,42.62                   ,38.44                  ,No        ,41.29 ,41.74 ,41.65 ,74.17                 ,505630        ,655964     ,53.55                    ,41.27                 ,Yes               ,Financials            ,1.30          ,41.38     ,41.10 ,300     ,504121      ,36.47                     ,53.71                  ,26.62M         ,No                  ,C  ,***      ,A-                 ,7.14           ,7.14                  ,71.43           ,7.14                   ,7.14            ,14                ,3.00              ,257.49M   ,1.76B  ,257.49M ,140.27M           ,1.82    ,1.82      ,1.70      ,1.88        ,1.41      ,1.48      ,1.26      ,8.23                        ,14.61   ,212.46            ,+0.26  ,-0.16                  ,-3.09                      ,-0.36                  ,-4.28                   ,+29.60               ,+87.59               ,+12.48               ,+0.74     ,41.95        ,43.87    ,4.03                   ,41.37     ,34.23    ,15.63                   ,2.22                         ,+0.63   ,-0.09 ,-3.40                  ,-0.02                 ,-1.46                  ,-0.85                    ,-7.46                ,+41.42               ,-6.70                ,+11.42            ,23              ,42.65     ,45.77   ,41.37       ,41.37   ,-6.87                ,0.10           ,+0.35    ,-0.22 ,-0.45                   ,-1.32                    ,-3.40                    ,-1.85                 ,+18.14               ,+37.40               ,+11.40               ,+5.00             ,43.87      ,45.77     ,41.37    ,41.37  ,0.64         ,15.00            ,-0.54         ,0.98              ,--                   ,22.74                    ,--              ,43.15        ,22.04                ,3.29     ,42.19     ,42.88     ,42.18      ,42.50     ,42.25      ,23.04                ,47.64     ,34.69                   ,19.49,43.99               ,-1.86                     ,-3.27          ,43.08     ,40.10      ,42.56     ,42.81     ,41.90      ,42.49     ,46.61                ,53.05         ,7.24 ,-0.25      ,-0.57          ,-3.68                     ,42.70     ,43.22      ,42.77     ,40.52                ,10.64                   ,6.18    ,41.42                  ,-1.50          ,-1.15                     ,-1450.79   , 
FDS   ,-0.77      ,163.00    ,285156    ,25.33                  ,19.29    ,6.50B     ,38             ,+0.02                     ,18.62     ,170.18    ,-3.58,-94.45      ,27.25                  ,-19.00            ,173.66                 ,Capital Markets                     ,NYSE    ,FACTSET RESEARCH SYSTEMS ,Financial Exchanges & Data           ,2.00    ,164.22        ,162.99,200     ,609444       ,329580      ,46.79                   ,86.52                  ,No        ,164.26,166.07,163.05,96.46                 ,328626        ,254740     ,86.77                    ,111.94                ,Yes               ,Financials            ,1.20          ,164.22    ,161.85,100     ,322225      ,67.94                     ,88.50                  ,100.18M        ,No                  ,F  ,***      ,A+                 ,--             ,5.88                  ,64.71           ,23.53                  ,5.88            ,17                ,3.29              ,338.82M   ,--     ,338.82M ,39.57M            ,8.52    ,8.19      ,5.71      ,7.26        ,4.92      ,4.45      ,4.12      ,10.65                       ,30.06   ,134.58            ,-1.22  ,-2.67                  ,-5.44                      ,-2.87                  ,-5.99                   ,+5.97                ,+76.95               ,+3.05                ,+0.74     ,167.00       ,182.56   ,17.57                  ,161.88    ,145.48   ,72.75                   ,5.81                         ,-0.74   ,+0.04 ,-2.06                  ,-0.01                 ,-10.43                 ,-1.72                    ,+0.76                ,+58.37               ,+1.18                ,+66.59            ,1               ,168.03    ,183.64  ,163.31      ,161.88  ,-16.37               ,3.07           ,-1.26    ,+0.02 ,+0.04                   ,-9.44                    ,-5.97                    ,-10.46                ,+10.13               ,+86.86               ,+2.33                ,+33.06            ,182.56     ,183.64    ,161.88   ,161.88 ,4.22         ,36.00            ,-1.15         ,0.83              ,--                   ,20.05                    ,--              ,57.98        ,22.62                ,--       ,169.11    ,175.87    ,167.58     ,171.57    ,171.32     ,20.30                ,43.58     ,36.25                   ,5.55 ,186.29              ,-12.75                    ,-7.74          ,174.89    ,168.30     ,172.47    ,173.29    ,170.54     ,37.12     ,44.40                ,41.53         ,10.51,-1.98      ,-12.76         ,-4.66                     ,173.66    ,170.22     ,172.98    ,38.28                ,14.97                   ,12.09   ,161.03                 ,-13.70         ,-11.94                    ,-1003.78   , 
STAY  ,-0.29      ,15.68     ,855526    ,26.07                  ,45.27    ,3.07B     ,8              ,-0.99                     ,31.06     ,16.13     ,-0.28,-94.92      ,32.14                  ,-26.33            ,16.25                  ,Hotels Restaurants & Leisure        ,NYSE    ,EXTENDED STAY AMERICA INC,Hotels Resorts & Cruise Lines        ,0.76    ,15.76         ,15.67 ,1200    ,1866127      ,1340887     ,45.85                   ,63.80                  ,No        ,15.72 ,15.77 ,15.68 ,56.04                 ,2001899       ,1623373    ,42.74                    ,52.70                 ,No                ,Consumer Discretionary,4.80          ,15.76     ,15.63 ,2000    ,1971291     ,18.84                     ,43.40                  ,29.69M         ,No                  ,C  ,--       ,--                 ,46.15          ,15.38                 ,38.46           ,--                     ,--              ,13                ,1.92              ,163.35M   ,1.27B  ,163.35M ,194.81M           ,0.35    ,0.35      ,0.55      ,1.00        ,0.19      ,0.49      ,0.12      ,10.00                       ,5.50    ,206.60            ,-0.08  ,-0.28                  ,-3.00                      ,+0.04                  ,-4.87                   ,-9.43                ,0.00                 ,+10.79               ,+1.05     ,16.03        ,17.43    ,2.10                   ,15.62     ,13.00    ,67.86                   ,2.91                         ,-0.54   ,-0.04 ,-0.54                  ,-0.02                 ,-0.64                  ,+0.25                    ,-1.30                ,-19.99               ,-0.17                ,+19.51            ,8               ,16.26     ,17.87   ,15.62       ,15.62   ,-2.63                ,0.10           ,-0.04    ,-0.25 ,-0.16                   ,-0.49                    ,-3.91                    ,-0.81                 ,+2.89                ,0.00                 ,+15.07               ,+3.75             ,17.00      ,17.87     ,15.62    ,15.43  ,0.14         ,25.00            ,-0.05         ,1.95              ,--                   ,45.27                    ,4.33            ,189.25       ,15.74                ,2.42     ,16.02     ,16.76     ,15.89      ,16.24     ,16.17      ,32.71                ,46.78     ,31.27                   ,5.08 ,16.89               ,-1.51                     ,-0.26          ,16.59     ,15.33      ,16.13     ,16.43     ,16.06      ,41.85     ,47.26                ,34.87         ,11.68,-0.23      ,-1.58          ,-0.19                     ,16.25     ,16.33      ,16.40     ,42.59                ,15.10                   ,18.76   ,15.61                  ,-1.23          ,-1.40                     ,-5784.53   , 
CBPX  ,-0.31      ,23.88     ,190178    ,26.10                  ,22.27    ,958.56M   ,5              ,-1.21                     ,23.33     ,24.90     ,-0.11,-93.79      ,31.25                  ,-25.83            ,25.34                  ,Building Products                   ,NYSE    ,CONTINENTAL BUILDING PROD,Building Products                    ,--      ,24.05         ,23.85 ,900     ,447782       ,272056      ,42.47                   ,69.90                  ,No        ,23.95 ,24.15 ,23.90 ,99.30                 ,301846        ,279289     ,63.00                    ,68.09                 ,No                ,Industrials           ,--            ,24.05     ,23.75 ,2100    ,304193      ,36.59                     ,62.52                  ,10.98M         ,No                  ,B  ,--       ,--                 ,12.50          ,12.50                 ,75.00           ,--                     ,--              ,8                 ,2.63              ,44.02M    ,461.38M,44.02M  ,39.86M            ,1.08    ,1.08      ,0.39      ,1.32        ,0.37      ,0.07      ,--        ,3.70                        ,9.54    ,747.77            ,-0.18  ,-0.62                  ,-5.10                      ,+1.22                  ,-0.28                   ,+8.46                ,0.00                 ,+10.21               ,+1.29     ,24.85        ,26.52    ,2.38                   ,23.70     ,18.26    ,68.75                   ,5.81                         ,-0.73   ,-0.10 ,+0.48                  ,-0.04                 ,-1.44                  ,+5.34                    ,+4.11                ,+30.04               ,+6.06                ,+14.44            ,3               ,25.35     ,26.52   ,23.70       ,23.70   ,-5.49                ,0.28           ,-0.08    ,-0.42 ,-0.30                   ,-1.29                    ,-5.65                    ,-0.07                 ,+32.00               ,0.00                 ,+16.72               ,+6.93             ,26.52      ,26.53     ,23.70    ,21.80  ,0.40         ,63.00            ,-0.13         ,0.96              ,--                   ,22.27                    ,8.88            ,85.63        ,18.18                ,2.08     ,24.88     ,24.51     ,23.05      ,24.95     ,23.76      ,25.32                ,50.39     ,26.57                   ,6.21 ,26.67               ,-2.05                     ,1.03           ,24.17     ,22.72      ,25.26     ,24.53     ,23.52      ,46.44     ,51.10                ,35.60         ,10.52,0.17       ,0.63           ,0.65                      ,25.34     ,23.59      ,24.36     ,47.58                ,12.62                   ,14.22   ,24.02                  ,-2.03          ,0.65                      ,-1138.43   , 
GPC   ,+0.20      ,90.23     ,374494    ,26.35                  ,19.68    ,13.40B    ,9              ,-1.37                     ,20.90     ,92.64     ,-1.21,-82.67      ,52.22                  ,-0.40             ,93.09                  ,Distributors                        ,NYSE    ,GENUINE PARTS CO         ,Distributors                         ,2.70    ,90.34         ,90.22 ,400     ,780676       ,681547      ,47.97                   ,54.95                  ,Yes       ,90.05 ,90.66 ,90.24 ,75.79                 ,671923        ,670035     ,55.73                    ,55.89                 ,No                ,Consumer Discretionary,3.00          ,90.34     ,89.76 ,300     ,676571      ,28.78                     ,55.35                  ,71.67M         ,No                  ,D  ,**       ,A                  ,7.14           ,--                    ,85.71           ,7.14                   ,--              ,14                ,2.93              ,687.24M   ,15.34B ,687.24M ,148.38M           ,4.59    ,4.59      ,4.63      ,4.76        ,4.61      ,4.40      ,4.14      ,4.80                        ,4.48    ,383.49            ,-0.11  ,-2.27                  ,-2.96                      ,-5.56                  ,-5.97                   ,+4.80                ,+69.23               ,-6.86                ,+0.95     ,92.50        ,95.99    ,15.31                  ,89.23     ,86.61    ,47.78                   ,3.02                         ,-0.12   ,-0.29 ,-6.19                  ,-0.03                 ,-3.03                  ,-5.79                    ,-4.76                ,+15.33               ,-2.58                ,+21.68            ,26              ,93.71     ,100.90  ,89.23       ,89.23   ,-3.15                ,0.43           ,+0.18    ,-0.32 ,-1.26                   ,-2.75                    ,-3.24                    ,-5.74                 ,-4.44                ,+31.96               ,-6.73                ,+8.08             ,95.00      ,105.97    ,89.23    ,89.23  ,0.90         ,21.00            ,-0.47         ,0.85              ,--                   ,19.68                    ,8.29            ,18.37        ,18.97                ,0.87     ,92.36     ,95.57     ,95.50      ,93.09     ,95.70      ,21.34                ,42.01     ,29.75                   ,17.33,95.40               ,-3.84                     ,-5.93          ,95.96     ,97.62      ,92.96     ,94.72     ,95.88      ,37.08     ,42.15                ,49.75         ,17.40,-1.01      ,-6.98          ,-6.33                     ,93.09     ,96.27      ,95.01     ,37.29                ,9.98                    ,15.97   ,90.79                  ,-3.29          ,-6.80                     ,-36.83     , 
CSRA  ,-0.43      ,27.98     ,814548    ,27.45                  ,23.79    ,4.60B     ,12             ,-2.70                     ,31.53     ,29.05     ,-0.33,-91.55      ,42.86                  ,23.81             ,29.00                  ,IT Services                         ,NYSE    ,CSRA INC                 ,IT Consulting & Other Services       ,0.40    ,28.19         ,27.98 ,300     ,1119338      ,1236415     ,72.77                   ,65.88                  ,Yes       ,28.10 ,28.22 ,27.99 ,96.59                 ,1012613       ,1175348    ,80.44                    ,69.30                 ,No                ,Information Technology,1.40          ,28.19     ,27.80 ,400     ,1024656     ,65.38                     ,79.49                  ,32.72M         ,No                  ,D  ,*****    ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,102.92M   ,4.25B  ,102.92M ,163.11M           ,1.18    ,0.53      ,1.81      ,2.01        ,2.13      ,--        ,--        ,--                          ,2.05    ,236.14            ,-0.21  ,-1.16                  ,-2.78                      ,-1.61                  ,-7.95                   ,0.00                 ,0.00                 ,+25.89               ,0.00      ,29.22        ,30.10    ,5.32                   ,28.05     ,21.95    ,57.14                   ,4.07                         ,-0.74   ,-0.09 ,-4.04                  ,-0.05                 ,-0.86                  ,-5.39                    ,-11.16               ,0.00                 ,-8.01                ,+81.51            ,2               ,29.93     ,33.54   ,28.05       ,28.05   ,-5.85                ,0.24           ,-0.12    ,-0.32 ,-0.78                   ,-0.81                    ,-2.95                    ,-2.44                 ,+10.51               ,0.00                 ,+9.23                ,+4.23             ,29.93      ,33.54     ,28.05    ,28.05  ,0.42         ,13.00            ,-0.18         ,1.02              ,--                   ,53.19                    ,--              ,3063.96      ,14.04                ,1.08     ,29.10     ,30.07     ,30.11      ,29.17     ,--         ,33.54                ,--        ,34.56                   ,8.45 ,29.94               ,-0.47                     ,-4.17          ,30.48     ,28.31      ,29.12     ,29.79     ,--         ,40.42     ,50.00                ,35.06         ,24.12,-0.31      ,-4.31          ,-3.90                     ,29.00     ,30.98      ,29.87     ,41.27                ,16.62                   ,52.79   ,28.05                  ,-0.52          ,-4.17                     ,3505.70    , 
CVS   ,-0.15      ,77.89     ,3415256   ,27.57                  ,15.90    ,80.84B    ,31             ,-0.46                     ,27.08     ,78.74     ,-0.45,-86.36      ,42.11                  ,-1.99             ,79.12                  ,Food & Staples Retailing            ,NYSE    ,CVS HEALTH CORP          ,Drug Retail                          ,2.00    ,78.05         ,77.89 ,3200    ,5562606      ,7582186     ,61.40                   ,45.04                  ,Yes       ,78.01 ,78.22 ,77.90 ,87.28                 ,6608083       ,6956989    ,51.68                    ,49.09                 ,No                ,Consumer Staples      ,2.60          ,78.05     ,77.65 ,500     ,6469406     ,46.31                     ,52.79                  ,436.53M        ,No                  ,C  ,***      ,A+                 ,52.00          ,20.00                 ,28.00           ,--                     ,--              ,25                ,1.76              ,5.32B     ,177.53B,5.32B   ,1.04B             ,4.91    ,4.91      ,4.63      ,5.86        ,3.96      ,3.74      ,3.01      ,10.68                       ,3.00    ,870.23            ,-0.16  ,-0.49                  ,-1.36                      ,-2.75                  ,-2.20                   ,-21.31               ,+89.55               ,-16.74               ,+0.84     ,78.55        ,81.69    ,28.45                  ,77.56     ,69.30    ,57.89                   ,1.00                         ,-0.20   ,-0.04 ,-1.69                  ,-0.01                 ,-1.37                  ,-3.40                    ,-0.48                ,+10.04               ,+0.09                ,+14.37            ,13              ,79.11     ,84.72   ,77.72       ,77.56   ,-8.35                ,0.33           ,-0.12    ,-0.05 ,-0.36                   ,-1.07                    ,-1.72                    ,-1.75                 ,-22.83               ,+52.11               ,-10.81               ,+5.69             ,81.52      ,106.67    ,77.56    ,74.05  ,0.57         ,28.00            ,-0.24         ,0.68              ,--                   ,15.90                    ,--              ,69.54        ,13.31                ,0.46     ,78.44     ,79.13     ,79.98      ,78.92     ,80.82      ,29.00                ,44.59     ,22.20                   ,13.64,80.94               ,-2.79                     ,-4.31          ,79.70     ,85.45      ,78.67     ,79.42     ,81.58      ,43.18     ,44.85                ,39.87         ,21.03,-0.34      ,1.83           ,-3.37                     ,79.12     ,78.92      ,79.61     ,43.72                ,9.55                    ,26.66   ,77.30                  ,-2.92          ,2.60                      ,-1835.12   , 
SAIC  ,+2.25      ,74.20     ,262459    ,28.47                  ,22.68    ,3.18B     ,6              ,-4.61                     ,22.13     ,81.36     ,-2.78,-86.92      ,88.00                  ,-20.89            ,84.12                  ,IT Services                         ,NYSE    ,SCIENCE APPLICATIONS INTL,IT Consulting & Other Services       ,1.24    ,73.04         ,74.19 ,300     ,857588       ,323884      ,30.60                   ,81.02                  ,No        ,72.57 ,74.50 ,74.25 ,71.16                 ,400631        ,314000     ,65.50                    ,83.57                 ,Yes               ,Information Technology,1.70          ,73.04     ,72.00 ,100     ,380008      ,35.17                     ,69.05                  ,65.08M         ,No                  ,C  ,--       ,--                 ,57.14          ,--                    ,42.86           ,--                     ,--              ,7                 ,1.86              ,148.00M   ,4.45B  ,148.00M ,43.57M            ,3.22    ,3.22      ,2.47      ,3.95        ,2.91      ,2.27      ,3.66      ,5.00                        ,3.33    ,287.10            ,+1.16  ,+0.14                  ,-13.17                     ,-7.22                  ,-13.88                  ,+51.54               ,0.00                 ,+29.21               ,+1.65     ,74.39        ,89.00    ,15.37                  ,72.51     ,51.26    ,12.00                   ,12.20                        ,+1.59   ,-0.47 ,-10.76                 ,-0.13                 ,-12.00                 ,-8.99                    ,-13.55               ,+113.52              ,-11.94               ,+40.33            ,79              ,86.71     ,89.87   ,72.51       ,72.51   ,-20.74               ,0.30           ,+1.63    ,-0.64 ,-3.53                   ,-11.08                   ,-14.11                   ,-11.78                ,+42.18               ,0.00                 ,+8.13                ,+7.11             ,88.82      ,89.87     ,72.51    ,72.51  ,2.50         ,9.00             ,-2.20         ,0.98              ,--                   ,22.68                    ,--              ,288.70       ,18.50                ,0.72     ,81.35     ,84.73     ,81.39      ,82.43     ,81.61      ,16.06                ,42.45     ,49.54                   ,13.08,94.20               ,-14.27                    ,-11.41         ,84.63     ,74.02      ,83.25     ,83.88     ,80.30      ,35.58     ,41.10                ,67.64         ,8.96 ,-1.16      ,-8.15          ,-11.83                    ,84.12     ,83.97      ,83.66     ,33.31                ,9.57                    ,13.71   ,74.04                  ,-13.18         ,-9.66                     ,-1422.18   , 
SJM   ,-0.45      ,130.80    ,753023    ,28.53                  ,22.82    ,15.26B    ,39             ,-0.21                     ,16.10     ,133.65    ,-1.94,-95.92      ,34.11                  ,-22.82            ,135.39                 ,Food Products                       ,NYSE    ,SMUCKER (JM) CO          ,Packaged Foods & Meats               ,3.00    ,131.08        ,130.77,300     ,1308402      ,1009408     ,57.55                   ,74.60                  ,Yes       ,131.38,131.50,130.82,78.13                 ,1326170       ,1272319    ,56.78                    ,59.18                 ,No                ,Consumer Staples      ,2.30          ,131.08    ,130.43,300     ,1295260     ,64.94                     ,58.14                  ,172.82M        ,No                  ,C  ,***      ,A                  ,14.29          ,4.76                  ,71.43           ,9.52                   ,--              ,21                ,2.76              ,688.70M   ,7.81B  ,688.70M ,116.44M           ,5.74    ,5.76      ,3.33      ,7.65        ,5.42      ,--        ,4.06      ,6.39                        ,8.82    ,1130.42           ,-0.28  ,-0.36                  ,-3.18                      ,-1.77                  ,-3.50                   ,+18.32               ,+80.63               ,-12.61               ,+0.59     ,131.44       ,141.22   ,25.81                  ,130.63    ,122.05   ,65.89                   ,2.56                         ,-0.22   ,+0.30 ,+2.28                  ,-0.02                 ,-5.13                  ,-1.33                    ,+2.92                ,+44.27               ,+2.92                ,+9.24             ,3               ,133.52    ,143.68  ,130.63      ,130.63  ,-8.38                ,0.71           ,-0.58    ,+0.23 ,-0.28                   ,-4.31                    ,-3.77                    ,-4.76                 ,+3.11                ,+44.57               ,-2.21                ,+4.19             ,140.44     ,157.31    ,130.63   ,127.00 ,1.07         ,45.00            ,-0.37         ,0.98              ,--                   ,22.76                    ,--              ,73.43        ,17.13                ,1.95     ,132.27    ,137.18    ,132.66     ,134.42    ,135.04     ,16.94                ,44.93     ,33.95                   ,4.08 ,142.09              ,-8.91                     ,1.76           ,136.21    ,137.86     ,134.15    ,135.43    ,134.96     ,39.86     ,45.24                ,46.94         ,3.06 ,-1.36      ,-7.21          ,1.90                      ,135.39    ,132.93     ,135.33    ,40.35                ,12.26                   ,2.48    ,128.69                 ,-8.37          ,-7.70                     ,-4161.47   , 
FIS   ,-0.29      ,79.17     ,1196140   ,28.97                  ,46.10    ,26.12B    ,21             ,-0.28                     ,26.60     ,80.32     ,-0.53,-93.99      ,14.04                  ,-20.72            ,80.89                  ,IT Services                         ,NYSE    ,FIDELITY NATIONAL INFO SV,Data Processing & Outsourced Services,1.16    ,79.44         ,79.16 ,2400    ,1969453      ,1704561     ,60.73                   ,70.17                  ,Yes       ,79.40 ,79.66 ,79.17 ,86.91                 ,1590826       ,1699436    ,75.19                    ,70.38                 ,No                ,Information Technology,1.50          ,79.44     ,79.09 ,600     ,1551238     ,36.89                     ,77.11                  ,157.17M        ,No                  ,B  ,***      ,B+                 ,61.54          ,23.08                 ,11.54           ,3.85                   ,--              ,26                ,1.58              ,590.00M   ,9.24B  ,590.00M ,328.78M           ,1.72    ,1.72      ,2.19      ,4.26        ,2.35      ,1.68      ,1.55      ,12.00                       ,6.15    ,168.02            ,-0.27  ,-0.70                  ,-1.79                      ,+1.16                  ,-1.21                   ,+20.56               ,+162.80              ,+9.18                ,+0.80     ,80.38        ,83.08    ,4.20                   ,78.95     ,63.30    ,85.96                   ,1.57                         ,-0.34   ,-0.04 ,+2.89                  ,-0.01                 ,-1.78                  ,+1.48                    ,+5.39                ,+56.09               ,+5.63                ,+6.19             ,18              ,80.69     ,83.86   ,78.95       ,78.95   ,-15.79               ,0.49           ,-0.23    ,-0.05 ,-0.22                   ,-1.45                    ,-2.20                    ,-0.97                 ,+27.52               ,+114.54              ,+4.08                ,+2.26             ,82.98      ,83.86     ,78.95    ,75.52  ,0.57         ,59.00            ,-0.08         ,1.98              ,--                   ,46.10                    ,--              ,103.06       ,18.67                ,2.83     ,79.88     ,80.97     ,78.41      ,80.53     ,79.39      ,29.09                ,49.50     ,23.44                   ,6.01 ,83.23               ,-3.26                     ,0.28           ,80.55     ,78.00      ,80.41     ,80.45     ,78.95      ,45.68     ,50.04                ,47.90         ,11.66,-0.30      ,-0.17          ,1.39                      ,80.89     ,78.97      ,80.25     ,46.63                ,8.26                    ,17.79   ,78.55                  ,-3.47          ,0.04                      ,-4796.41   , 
FLT   ,-5.39      ,142.70    ,7293653   ,29.61                  ,31.61    ,13.80B    ,270            ,+0.79                     ,23.71     ,154.12    ,-3.38,-96.42      ,8.24                   ,-35.21            ,156.93                 ,IT Services                         ,NYSE    ,FLEETCOR TECHNOLOGIES INC,Data Processing & Outsourced Services,--      ,150.15        ,142.69,100     ,2483608      ,1012136     ,293.67                  ,720.62                 ,No        ,150.82,151.76,142.70,92.31                 ,1223067       ,1046247    ,596.34                   ,697.13                ,No                ,Information Technology,--            ,150.15    ,141.88,600     ,1175924     ,412.78                    ,620.25                 ,375.29M        ,No                  ,C  ,****     ,--                 ,50.00          ,37.50                 ,12.50           ,--                     ,--              ,16                ,1.63              ,452.38M   ,1.83B  ,452.38M ,91.89M            ,4.75    ,4.75      ,3.85      ,8.24        ,4.24      ,3.36      ,2.52      ,15.73                       ,24.70   ,257.96            ,-7.46  ,-8.86                  ,-4.32                      ,-7.22                  ,-4.14                   ,+0.34                ,+290.59              ,+5.80                ,+1.29     ,152.13       ,165.37   ,24.66                  ,146.76    ,133.64   ,91.76                   ,9.19                         ,-4.97   ,+0.67 ,-0.96                  ,-0.09                 ,-8.37                  ,-4.59                    ,+6.10                ,+31.56               ,+7.00                ,+15.30            ,15              ,158.00    ,171.77  ,148.99      ,146.76  ,-8.24                ,9.06           ,-8.12    ,+0.45 ,+1.18                   ,-6.78                    ,-5.28                    ,-6.49                 ,+1.80                ,+97.51               ,-12.84               ,+5.17             ,165.37     ,176.42    ,146.76   ,142.62 ,9.88         ,66.00            ,-0.81         ,1.36              ,--                   ,31.61                    ,--              ,81.77        ,18.22                ,7.53     ,153.26    ,158.54    ,155.60     ,155.45    ,156.54     ,32.99                ,42.39     ,40.78                   ,3.58 ,167.46              ,-13.51                    ,-5.71          ,157.06    ,157.10     ,155.80    ,157.00    ,156.34     ,37.63     ,46.09                ,63.00         ,16.21,-1.75      ,-5.00          ,2.68                      ,156.93    ,153.30     ,156.91    ,43.02                ,9.26                    ,16.16   ,146.41                 ,-20.50         ,-0.57                     ,-9301.01   , 
